pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
CK,Cook Islands,BR,Brazil,2016,647063.72,0.2199
CK,Cook Islands,BR,Brazil,2017,647063.72,0.1932
CK,Cook Islands,BR,Brazil,2018,647063.72,0.1701
CK,Cook Islands,BR,Brazil,2019,647063.72,0.1655
CK,Cook Islands,KY,Cayman Islands,2015,56000000.0,19.1027
CK,Cook Islands,KY,Cayman Islands,2019,53584.0,0.0137
CK,Cook Islands,KY,Cayman Islands,2020,80527830.0,30.0699
CK,Cook Islands,KY,Cayman Islands,2021,57067.0,0.0223
CK,Cook Islands,KY,Cayman Islands,2022,20282.0,0.007
CK,Cook Islands,FI,Finland,2012,1476.38,0.0005
CK,Cook Islands,FR,France,2012,30346.2,0.0103
CK,Cook Islands,FR,France,2013,17928.3,0.0062
CK,Cook Islands,FR,France,2014,14569.2,0.0045
CK,Cook Islands,FR,France,2016,37947.6,0.0129
CK,Cook Islands,FR,France,2017,39576.9,0.0118
CK,Cook Islands,FR,France,2018,12595.0,0.0033
CK,Cook Islands,FR,France,2019,12357.4,0.0032
CK,Cook Islands,FR,France,2020,9816.8,0.0037
CK,Cook Islands,GG,Guernsey,2010,237000.0,0.0944
CK,Cook Islands,GG,Guernsey,2016,16426000.0,5.5816
CK,Cook Islands,IM,Isle of Man,2010,652261.04,0.2598
CK,Cook Islands,IM,Isle of Man,2011,644178.07,0.2341
CK,Cook Islands,IM,Isle of Man,2012,657469.06,0.2232
CK,Cook Islands,IM,Isle of Man,2013,1677778.0,0.584
CK,Cook Islands,IM,Isle of Man,2014,451924.12,0.1409
CK,Cook Islands,IL,Israel,2015,3000000.0,1.0234
CK,Cook Islands,IL,Israel,2016,1000000.0,0.3398
CK,Cook Islands,IL,Israel,2017,1000000.0,0.2986
CK,Cook Islands,IL,Israel,2018,1000000.0,0.2628
CK,Cook Islands,IL,Israel,2019,1000000.0,0.2557
CK,Cook Islands,LB,Lebanon,2013,104000.0,0.0362
CK,Cook Islands,LB,Lebanon,2018,143372.47,0.0377
CK,Cook Islands,LB,Lebanon,2019,142094.2,0.0363
CK,Cook Islands,LB,Lebanon,2020,118955.22,0.0444
CK,Cook Islands,LB,Lebanon,2021,103867.33,0.0406
CK,Cook Islands,LB,Lebanon,2022,60785.41,0.021
CK,Cook Islands,MY,Malaysia,2018,116354.54,0.0306
CK,Cook Islands,NL,"Netherlands, The",2010,1336200.0,0.5321
CK,Cook Islands,NL,"Netherlands, The",2011,1293900.0,0.4701
CK,Cook Islands,NL,"Netherlands, The",2012,1319400.0,0.4478
CK,Cook Islands,NL,"Netherlands, The",2013,1379100.0,0.48
CK,Cook Islands,NL,"Netherlands, The",2014,2428200.0,0.7571
CK,Cook Islands,NL,"Netherlands, The",2015,2177400.0,0.7428
CK,Cook Islands,NL,"Netherlands, The",2016,1054100.0,0.3582
CK,Cook Islands,NL,"Netherlands, The",2017,3597900.0,1.0743
CK,Cook Islands,NL,"Netherlands, The",2018,2290000.0,0.6019
CK,Cook Islands,SG,Singapore,2013,17483600.73,6.0856
CK,Cook Islands,SG,Singapore,2014,10327707.56,3.2203
CK,Cook Islands,SG,Singapore,2015,5354692.69,1.8266
CK,Cook Islands,SE,Sweden,2017,1827485.38,0.5457
CK,Cook Islands,US,United States,2010,6000000.0,2.3894
CK,Cook Islands,US,United States,2011,6000000.0,2.1801
CK,Cook Islands,US,United States,2012,7000000.0,2.376
CK,Cook Islands,US,United States,2013,1400000.0,0.4873
CK,Cook Islands,US,United States,2014,1000000.0,0.3118
CK,Cook Islands,US,United States,2016,1000000.0,0.3398
CK,Cook Islands,US,United States,2018,2000000.0,0.5257
CK,Cook Islands,US,United States,2019,10000000.0,2.5571
FJ,Fiji,BH,"Bahrain, Kingdom of",2014,11296000.0,0.2326
FJ,Fiji,BM,Bermuda,2019,1817200.0,0.034
FJ,Fiji,BB,Barbados,2022,85742965.55,1.7225
FJ,Fiji,BB,Barbados,2023,79529805.54,1.4522
FJ,Fiji,CA,Canada,2021,3109211.04,0.0748
FJ,Fiji,CA,Canada,2023,754261.58,0.0138
FJ,Fiji,CA,Canada,2024,695894.22,0.0117
FJ,Fiji,CH,Switzerland,2022,54156.51,0.0011
FJ,Fiji,CL,Chile,2022,3988909.0,0.0801
FJ,Fiji,KY,Cayman Islands,2016,1000000.0,0.0203
FJ,Fiji,DE,Germany,2015,6532200.0,0.1395
FJ,Fiji,DE,Germany,2016,7378700.0,0.1497
FJ,Fiji,DE,Germany,2017,5996500.0,0.112
FJ,Fiji,DE,Germany,2018,5725000.0,0.1026
FJ,Fiji,DE,Germany,2019,5617000.0,0.1051
FJ,Fiji,FR,France,2015,383222.4,0.0082
FJ,Fiji,FR,France,2016,400558.0,0.0081
FJ,Fiji,GB,United Kingdom,2010,1565500.0,0.0499
FJ,Fiji,GB,United Kingdom,2011,1546100.0,0.0409
FJ,Fiji,GB,United Kingdom,2012,4891800.0,0.1232
FJ,Fiji,GB,United Kingdom,2013,5763800.0,0.1376
FJ,Fiji,GB,United Kingdom,2014,6711440.0,0.1382
FJ,Fiji,GB,United Kingdom,2015,148190.0,0.0032
FJ,Fiji,GB,United Kingdom,2016,17222800.0,0.3493
FJ,Fiji,GB,United Kingdom,2017,15538225.0,0.2902
FJ,Fiji,GB,United Kingdom,2018,14345915.0,0.257
FJ,Fiji,GB,United Kingdom,2019,27423935.0,0.5131
FJ,Fiji,GB,United Kingdom,2020,18385400.0,0.4349
FJ,Fiji,GB,United Kingdom,2021,3089820.0,0.0743
FJ,Fiji,GB,United Kingdom,2022,3620400.0,0.0727
FJ,Fiji,GB,United Kingdom,2023,3056520.0,0.0558
FJ,Fiji,GB,United Kingdom,2024,3086193.0,0.0517
FJ,Fiji,GG,Guernsey,2017,481000.0,0.009
FJ,Fiji,GI,Gibraltar,2019,931626.5,0.0174
FJ,Fiji,HK,"Hong Kong Special Administrative Region, People's Republic of China",2010,1029005.08,0.0328
FJ,Fiji,IE,Ireland,2010,8017200.0,0.2553
FJ,Fiji,IE,Ireland,2015,2177400.0,0.0465
FJ,Fiji,IE,Ireland,2016,2108200.0,0.0428
FJ,Fiji,IE,Ireland,2017,2398600.0,0.0448
FJ,Fiji,IE,Ireland,2018,3435000.0,0.0615
FJ,Fiji,IE,Ireland,2019,5617000.0,0.1051
FJ,Fiji,IT,Italy,2010,751052.63,0.0239
FJ,Fiji,IT,Italy,2011,12258.41,0.0003
FJ,Fiji,IT,Italy,2012,12500.0,0.0003
FJ,Fiji,IT,Italy,2013,12411.9,0.0003
FJ,Fiji,IT,Italy,2014,12141.0,0.0002
FJ,Fiji,IT,Italy,2015,12058.44,0.0003
FJ,Fiji,IT,Italy,2016,11641.48,0.0002
FJ,Fiji,IT,Italy,2017,13245.07,0.0002
FJ,Fiji,IT,Italy,2018,12645.38,0.0002
FJ,Fiji,IT,Italy,2019,58.42,0.0
FJ,Fiji,IT,Italy,2020,63.81,0.0
FJ,Fiji,JE,Jersey,2023,2547100.0,0.0465
FJ,Fiji,JE,Jersey,2024,2509100.0,0.042
FJ,Fiji,KR,"Korea, Republic of",2022,1100000.0,0.0221
FJ,Fiji,KR,"Korea, Republic of",2023,1100000.0,0.0201
FJ,Fiji,LU,Luxembourg,2010,77259037.23,2.4603
FJ,Fiji,LU,Luxembourg,2011,152946658.0,4.0468
FJ,Fiji,LU,Luxembourg,2012,164867149.59,4.1507
FJ,Fiji,LU,Luxembourg,2013,166085099.88,3.9639
FJ,Fiji,LU,Luxembourg,2014,107914570.68,2.2218
FJ,Fiji,LU,Luxembourg,2015,14392125.17,0.3074
FJ,Fiji,LU,Luxembourg,2016,8479050.75,0.172
FJ,Fiji,LU,Luxembourg,2017,8490431.16,0.1586
FJ,Fiji,LU,Luxembourg,2018,6411700.01,0.1149
FJ,Fiji,LU,Luxembourg,2019,10548567.6,0.1974
FJ,Fiji,MU,Mauritius,2020,36800000.0,0.8704
FJ,Fiji,US,United States,2010,17000000.0,0.5414
FJ,Fiji,US,United States,2011,7000000.0,0.1852
FJ,Fiji,US,United States,2012,7000000.0,0.1762
FJ,Fiji,US,United States,2013,11000000.0,0.2625
FJ,Fiji,US,United States,2014,67000000.0,1.3794
FJ,Fiji,US,United States,2015,45000000.0,0.961
FJ,Fiji,US,United States,2016,47000000.0,0.9533
FJ,Fiji,US,United States,2017,50000000.0,0.934
FJ,Fiji,US,United States,2018,68000000.0,1.2183
FJ,Fiji,US,United States,2019,85000000.0,1.5903
FM,Micronesia (FSM),BB,Barbados,2013,13079710.5,4.1814
FM,Micronesia (FSM),BB,Barbados,2015,13079710.5,4.2169
FM,Micronesia (FSM),CH,Switzerland,2010,6617.4,0.0023
FM,Micronesia (FSM),CH,Switzerland,2011,37315.53,0.0122
FM,Micronesia (FSM),CH,Switzerland,2012,28487.96,0.0088
FM,Micronesia (FSM),GI,Gibraltar,2022,1810200.0,0.4352
FM,Micronesia (FSM),GI,Gibraltar,2023,2547100.0,0.577
FM,Micronesia (FSM),IM,Isle of Man,2016,933721.8,0.2873
FM,Micronesia (FSM),IM,Isle of Man,2018,342522322.81,87.3781
KI,Kiribati,IL,Israel,2010,1000000.0,0.6044
KI,Kiribati,IL,Israel,2017,2000000.0,0.8974
KI,Kiribati,KR,"Korea, Republic of",2018,100000.0,0.0428
KI,Kiribati,KR,"Korea, Republic of",2019,100000.0,0.0461
KI,Kiribati,KR,"Korea, Republic of",2020,100000.0,0.0453
KI,Kiribati,KR,"Korea, Republic of",2021,200000.0,0.0701
KI,Kiribati,KR,"Korea, Republic of",2022,200000.0,0.0741
KI,Kiribati,KR,"Korea, Republic of",2023,300000.0,0.1039
KI,Kiribati,KR,"Korea, Republic of",2024,200000.0,0.065
KI,Kiribati,LU,Luxembourg,2010,429354.47,0.2595
KI,Kiribati,US,United States,2010,2000000.0,1.2088
MH,Marshall Islands,AW,"Aruba, Kingdom of the Netherlands",2014,30000.0,0.0161
MH,Marshall Islands,AW,"Aruba, Kingdom of the Netherlands",2019,70000.0,0.0301
MH,Marshall Islands,AW,"Aruba, Kingdom of the Netherlands",2020,50000.0,0.0207
MH,Marshall Islands,AW,"Aruba, Kingdom of the Netherlands",2021,26181.15,0.01
MH,Marshall Islands,AR,Argentina,2021,3776.37,0.0014
MH,Marshall Islands,AR,Argentina,2022,2446.44,0.0009
MH,Marshall Islands,AR,Argentina,2023,16087.46,0.0061
MH,Marshall Islands,AU,Australia,2015,2191800.0,1.1931
MH,Marshall Islands,AU,Australia,2016,4341600.0,2.1514
MH,Marshall Islands,AU,Australia,2017,19500000.0,9.1249
MH,Marshall Islands,AU,Australia,2018,19762400.0,8.9829
MH,Marshall Islands,AU,Australia,2020,1540400.0,0.6371
MH,Marshall Islands,AU,Australia,2021,15237600.0,5.8327
MH,Marshall Islands,AU,Australia,2023,15732000.0,5.9645
MH,Marshall Islands,AT,Austria,2010,12025800.0,7.4648
MH,Marshall Islands,AT,Austria,2011,5175600.0,3.0038
MH,Marshall Islands,AT,Austria,2012,6597000.0,3.6508
MH,Marshall Islands,AT,Austria,2013,5516400.0,2.9594
MH,Marshall Islands,AT,Austria,2014,3642300.0,1.9582
MH,Marshall Islands,AT,Austria,2015,2177400.0,1.1853
MH,Marshall Islands,AT,Austria,2016,1054100.0,0.5223
MH,Marshall Islands,AT,Austria,2017,1199300.0,0.5612
MH,Marshall Islands,AT,Austria,2018,1145000.0,0.5205
MH,Marshall Islands,AT,Austria,2019,1123400.0,0.4824
MH,Marshall Islands,AT,Austria,2020,2454200.0,1.015
MH,Marshall Islands,AT,Austria,2021,4530400.0,1.7342
MH,Marshall Islands,AT,Austria,2022,7466200.0,2.8858
MH,Marshall Islands,AT,Austria,2023,7735000.0,2.9326
MH,Marshall Islands,AT,Austria,2024,8311200.0,2.8649
MH,Marshall Islands,BE,Belgium,2010,3527568.0,2.1897
MH,Marshall Islands,BE,Belgium,2011,2329020.0,1.3517
MH,Marshall Islands,BE,Belgium,2012,27575460.0,15.2604
MH,Marshall Islands,BE,Belgium,2013,20410680.0,10.9499
MH,Marshall Islands,BE,Belgium,2014,13597920.0,7.3107
MH,Marshall Islands,BE,Belgium,2015,16765980.0,9.1268
MH,Marshall Islands,BE,Belgium,2016,28671520.0,14.2079
MH,Marshall Islands,BE,Belgium,2017,42815010.0,20.0351
MH,Marshall Islands,BE,Belgium,2018,13625500.0,6.1934
MH,Marshall Islands,BE,Belgium,2019,23254380.0,9.9847
MH,Marshall Islands,BE,Belgium,2020,25769100.0,10.6572
MH,Marshall Islands,BE,Belgium,2021,30580200.0,11.7055
MH,Marshall Islands,BE,Belgium,2022,26665000.0,10.3064
MH,Marshall Islands,BE,Belgium,2023,26520000.0,10.0545
MH,Marshall Islands,BE,Belgium,2024,16622400.0,5.7297
MH,Marshall Islands,BG,Bulgaria,2010,3328.42,0.0021
MH,Marshall Islands,BG,Bulgaria,2011,7258.64,0.0042
MH,Marshall Islands,BG,Bulgaria,2012,7433.61,0.0041
MH,Marshall Islands,BG,Bulgaria,2013,9933.56,0.0053
MH,Marshall Islands,BG,Bulgaria,2014,3470.38,0.0019
MH,Marshall Islands,BG,Bulgaria,2016,29925.1,0.0148
MH,Marshall Islands,BG,Bulgaria,2017,90008.06,0.0421
MH,Marshall Islands,BG,Bulgaria,2018,97076.02,0.0441
MH,Marshall Islands,BG,Bulgaria,2019,120079.74,0.0516
MH,Marshall Islands,BG,Bulgaria,2020,179832.09,0.0744
MH,Marshall Islands,BG,Bulgaria,2021,612829.78,0.2346
MH,Marshall Islands,BG,Bulgaria,2022,863290.92,0.3337
MH,Marshall Islands,BG,Bulgaria,2023,732110.33,0.2776
MH,Marshall Islands,BG,Bulgaria,2024,491524.08,0.1694
MH,Marshall Islands,BM,Bermuda,2010,102250587.85,63.4703
MH,Marshall Islands,BM,Bermuda,2011,17808887.69,10.336
MH,Marshall Islands,BM,Bermuda,2012,38789043.42,21.466
MH,Marshall Islands,BM,Bermuda,2013,420476184.48,225.5774
MH,Marshall Islands,BM,Bermuda,2014,170411134.45,91.6189
MH,Marshall Islands,BM,Bermuda,2015,40137474.63,21.8495
MH,Marshall Islands,BM,Bermuda,2016,8685965.0,4.3042
MH,Marshall Islands,BM,Bermuda,2017,25505156.11,11.935
MH,Marshall Islands,BM,Bermuda,2018,34891396.5,15.8597
MH,Marshall Islands,BM,Bermuda,2019,43926519.38,18.8607
MH,Marshall Islands,BM,Bermuda,2020,22116000.0,9.1464
MH,Marshall Islands,BM,Bermuda,2021,9074011.75,3.4734
MH,Marshall Islands,BM,Bermuda,2022,21291000.0,8.2292
MH,Marshall Islands,BM,Bermuda,2023,199945269.32,75.8054
MH,Marshall Islands,BM,Bermuda,2024,253505847.31,87.3831
MH,Marshall Islands,BR,Brazil,2010,5360000.0,3.3271
MH,Marshall Islands,BR,Brazil,2011,5585000.0,3.2414
MH,Marshall Islands,BR,Brazil,2013,9847000.0,5.2827
MH,Marshall Islands,BR,Brazil,2014,11087116.66,5.9608
MH,Marshall Islands,BR,Brazil,2015,1197858.61,0.6521
MH,Marshall Islands,BR,Brazil,2016,1132696.45,0.5613
MH,Marshall Islands,BR,Brazil,2018,540000.0,0.2455
MH,Marshall Islands,BB,Barbados,2010,3976.5,0.0025
MH,Marshall Islands,BB,Barbados,2012,373827.18,0.2069
MH,Marshall Islands,BB,Barbados,2013,678295.18,0.3639
MH,Marshall Islands,BB,Barbados,2015,8222.0,0.0045
MH,Marshall Islands,CA,Canada,2010,184998994.57,114.8349
MH,Marshall Islands,CA,Canada,2011,146509341.2,85.0315
MH,Marshall Islands,CA,Canada,2012,144738164.64,80.0986
MH,Marshall Islands,CA,Canada,2013,172057164.35,92.3053
MH,Marshall Islands,CA,Canada,2014,199120765.45,107.0542
MH,Marshall Islands,CA,Canada,2015,72976878.61,39.7261
MH,Marshall Islands,CA,Canada,2016,54368064.35,26.9416
MH,Marshall Islands,CA,Canada,2017,111598246.31,52.2219
MH,Marshall Islands,CA,Canada,2018,151015321.46,68.6433
MH,Marshall Islands,CA,Canada,2019,167700436.48,72.0053
MH,Marshall Islands,CA,Canada,2020,145457373.99,60.1561
MH,Marshall Islands,CA,Canada,2021,5441119.32,2.0828
MH,Marshall Islands,CA,Canada,2022,7351319.56,2.8414
MH,Marshall Islands,CA,Canada,2023,2262784.73,0.8579
MH,Marshall Islands,CH,Switzerland,2010,210594585.36,130.7229
MH,Marshall Islands,CH,Switzerland,2011,221930355.61,128.8046
MH,Marshall Islands,CH,Switzerland,2012,39887097.14,22.0737
MH,Marshall Islands,CH,Switzerland,2013,44835474.37,24.0534
MH,Marshall Islands,CH,Switzerland,2014,37188380.73,19.9938
MH,Marshall Islands,CH,Switzerland,2015,29099640.97,15.8408
MH,Marshall Islands,CH,Switzerland,2016,39174871.0,19.4127
MH,Marshall Islands,CH,Switzerland,2017,55590029.31,26.0131
MH,Marshall Islands,CH,Switzerland,2018,44218829.99,20.0995
MH,Marshall Islands,CH,Switzerland,2019,42720490.88,18.3428
MH,Marshall Islands,CH,Switzerland,2020,47952240.37,19.8314
MH,Marshall Islands,CH,Switzerland,2021,77021760.48,29.4825
MH,Marshall Islands,CH,Switzerland,2022,99325245.42,38.3905
MH,Marshall Islands,CH,Switzerland,2023,139021507.35,52.7073
MH,Marshall Islands,CH,Switzerland,2024,125526082.31,43.2687
MH,Marshall Islands,CL,Chile,2015,3156173.0,1.7181
MH,Marshall Islands,CL,Chile,2016,4710954.0,2.3345
MH,Marshall Islands,CL,Chile,2017,1679719.0,0.786
MH,Marshall Islands,CL,Chile,2018,1679719.0,0.7635
MH,Marshall Islands,CL,Chile,2019,1679719.0,0.7212
MH,Marshall Islands,CL,Chile,2020,1679719.0,0.6947
MH,Marshall Islands,CN,"China, People's Republic of",2015,52164.45,0.0284
MH,Marshall Islands,CN,"China, People's Republic of",2017,3608.0,0.0017
MH,Marshall Islands,CN,"China, People's Republic of",2018,1868778.4,0.8494
MH,Marshall Islands,CN,"China, People's Republic of",2019,19941871.5,8.5624
MH,Marshall Islands,CN,"China, People's Republic of",2020,2100948.5,0.8689
MH,Marshall Islands,CN,"China, People's Republic of",2021,406320.9,0.1555
MH,Marshall Islands,CN,"China, People's Republic of",2022,3479276.88,1.3448
MH,Marshall Islands,CN,"China, People's Republic of",2023,7113762.26,2.697
MH,Marshall Islands,CN,"China, People's Republic of",2024,2504165.73,0.8632
MH,Marshall Islands,CR,Costa Rica,2010,3720.45,0.0023
MH,Marshall Islands,CR,Costa Rica,2011,4979033.6,2.8897
MH,Marshall Islands,CR,Costa Rica,2014,26736.0,0.0144
MH,Marshall Islands,CR,Costa Rica,2022,553.2,0.0002
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2011,275000.0,0.1596
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2012,174000.0,0.0963
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2013,30000.0,0.0161
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2014,64245.81,0.0345
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2019,566000.0,0.243
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2020,10000.0,0.0041
MH,Marshall Islands,PIP_PIP_PIP_PIP_PIP_PIP_PIP_CWX,Curaçao and Sint Maarten,2021,572480.0,0.2191
MH,Marshall Islands,KY,Cayman Islands,2015,203000000.0,110.5063
MH,Marshall Islands,KY,Cayman Islands,2016,27000000.0,13.3796
MH,Marshall Islands,KY,Cayman Islands,2017,26000000.0,12.1666
MH,Marshall Islands,KY,Cayman Islands,2018,28000000.0,12.7273
MH,Marshall Islands,KY,Cayman Islands,2019,15347658.0,6.5898
MH,Marshall Islands,KY,Cayman Islands,2020,46728450.0,19.3252
MH,Marshall Islands,KY,Cayman Islands,2021,37166281.45,14.2266
MH,Marshall Islands,KY,Cayman Islands,2022,12065640.0,4.6635
MH,Marshall Islands,KY,Cayman Islands,2023,424347209.0,160.883
MH,Marshall Islands,KY,Cayman Islands,2024,417338602.0,143.856
MH,Marshall Islands,CY,Cyprus,2011,971.72,0.0006
MH,Marshall Islands,CY,Cyprus,2012,4475.4,0.0025
MH,Marshall Islands,CY,Cyprus,2017,4279792.06,2.0027
MH,Marshall Islands,CY,Cyprus,2018,1317662.21,0.5989
MH,Marshall Islands,CY,Cyprus,2019,2353886.93,1.0107
MH,Marshall Islands,CY,Cyprus,2020,621642.91,0.2571
MH,Marshall Islands,CY,Cyprus,2021,6882524.07,2.6345
MH,Marshall Islands,CY,Cyprus,2022,7019492.72,2.7131
MH,Marshall Islands,CY,Cyprus,2023,16860557.23,6.3924
MH,Marshall Islands,CY,Cyprus,2024,19189327.6,6.6145
MH,Marshall Islands,CZ,Czech Republic,2010,2165217.86,1.344
MH,Marshall Islands,CZ,Czech Republic,2011,351053.16,0.2037
MH,Marshall Islands,CZ,Czech Republic,2012,509052.74,0.2817
MH,Marshall Islands,CZ,Czech Republic,2013,663516.64,0.356
MH,Marshall Islands,CZ,Czech Republic,2014,13138.3,0.0071
MH,Marshall Islands,CZ,Czech Republic,2015,40283.6,0.0219
MH,Marshall Islands,CZ,Czech Republic,2016,780061.62,0.3866
MH,Marshall Islands,CZ,Czech Republic,2017,281809.22,0.1319
MH,Marshall Islands,CZ,Czech Republic,2018,801210.72,0.3642
MH,Marshall Islands,CZ,Czech Republic,2019,4641704.61,1.993
MH,Marshall Islands,CZ,Czech Republic,2020,5143311.36,2.1271
MH,Marshall Islands,CZ,Czech Republic,2021,33301444.13,12.7472
MH,Marshall Islands,CZ,Czech Republic,2022,68004952.25,26.2848
MH,Marshall Islands,CZ,Czech Republic,2023,210806220.95,79.9231
MH,Marshall Islands,CZ,Czech Republic,2024,33007385.4,11.3776
MH,Marshall Islands,DE,Germany,2010,12025800.0,7.4648
MH,Marshall Islands,DE,Germany,2011,10351200.0,6.0077
MH,Marshall Islands,DE,Germany,2012,19791000.0,10.9524
MH,Marshall Islands,DE,Germany,2013,26202900.0,14.0573
MH,Marshall Islands,DE,Germany,2014,24282000.0,13.0548
MH,Marshall Islands,DE,Germany,2015,71854200.0,39.115
MH,Marshall Islands,DE,Germany,2016,75895200.0,37.6091
MH,Marshall Islands,DE,Germany,2017,93545400.0,43.7742
MH,Marshall Islands,DE,Germany,2018,81295000.0,36.9523
MH,Marshall Islands,DE,Germany,2019,108969800.0,46.7882
MH,Marshall Islands,DE,Germany,2020,110439000.0,45.6737
MH,Marshall Islands,DE,Germany,2021,156298800.0,59.8283
MH,Marshall Islands,DE,Germany,2022,158923400.0,61.426
MH,Marshall Islands,DE,Germany,2023,180115000.0,68.2871
MH,Marshall Islands,DE,Germany,2024,145446000.0,50.135
MH,Marshall Islands,DK,Denmark,2010,5344449.79,3.3175
MH,Marshall Islands,DK,Denmark,2011,32894736.84,19.0915
MH,Marshall Islands,DK,Denmark,2012,53542082.66,29.6304
MH,Marshall Islands,DK,Denmark,2013,59304967.95,31.816
MH,Marshall Islands,DK,Denmark,2014,98506877.51,52.9607
MH,Marshall Islands,DK,Denmark,2015,77306002.93,42.0827
MH,Marshall Islands,DK,Denmark,2016,54588248.64,27.0507
MH,Marshall Islands,DK,Denmark,2017,68785540.54,32.1879
MH,Marshall Islands,DK,Denmark,2018,96021106.24,43.646
MH,Marshall Islands,DK,Denmark,2019,113243158.23,48.6231
MH,Marshall Islands,DK,Denmark,2020,69334389.86,28.6743
MH,Marshall Islands,DK,Denmark,2021,90074986.28,34.4791
MH,Marshall Islands,DK,Denmark,2022,95235363.3,36.8097
MH,Marshall Islands,DK,Denmark,2023,95037585.07,36.0317
MH,Marshall Islands,DK,Denmark,2024,51239692.56,17.6623
MH,Marshall Islands,ES,Spain,2017,419755000.0,196.4226
MH,Marshall Islands,ES,Spain,2018,333195000.0,151.4523
MH,Marshall Islands,ES,Spain,2019,407794200.0,175.0941
MH,Marshall Islands,ES,Spain,2020,290822700.0,120.2741
MH,Marshall Islands,ES,Spain,2021,291078200.0,111.4194
MH,Marshall Islands,ES,Spain,2022,260250400.0,100.5902
MH,Marshall Islands,ES,Spain,2023,191165000.0,72.4765
MH,Marshall Islands,ES,Spain,2024,130901400.0,45.1215
MH,Marshall Islands,EE,"Estonia, Republic of",2013,37588.75,0.0202
MH,Marshall Islands,EE,"Estonia, Republic of",2014,72485.41,0.039
MH,Marshall Islands,EE,"Estonia, Republic of",2015,592560.9,0.3226
MH,Marshall Islands,EE,"Estonia, Republic of",2016,1218214.94,0.6037
MH,Marshall Islands,EE,"Estonia, Republic of",2017,1963988.07,0.919
MH,Marshall Islands,EE,"Estonia, Republic of",2018,1944591.28,0.8839
MH,Marshall Islands,EE,"Estonia, Republic of",2019,2237132.02,0.9606
MH,Marshall Islands,EE,"Estonia, Republic of",2020,2285073.72,0.945
MH,Marshall Islands,EE,"Estonia, Republic of",2021,3221752.05,1.2332
MH,Marshall Islands,EE,"Estonia, Republic of",2022,3309565.94,1.2792
MH,Marshall Islands,EE,"Estonia, Republic of",2023,2995629.58,1.1357
MH,Marshall Islands,EE,"Estonia, Republic of",2024,3169994.53,1.0927
MH,Marshall Islands,FI,Finland,2010,64069670.8,39.7701
MH,Marshall Islands,FI,Finland,2011,53225182.79,30.891
MH,Marshall Islands,FI,Finland,2012,65433392.08,36.2111
MH,Marshall Islands,FI,Finland,2013,72802689.0,39.0572
MH,Marshall Islands,FI,Finland,2014,89382042.0,48.0549
MH,Marshall Islands,FI,Finland,2015,69493822.12,37.8301
MH,Marshall Islands,FI,Finland,2016,128600200.0,63.7266
MH,Marshall Islands,FI,Finland,2017,86349600.0,40.4069
MH,Marshall Islands,FI,Finland,2018,93890000.0,42.6773
MH,Marshall Islands,FI,Finland,2019,77514600.0,33.2824
MH,Marshall Islands,FI,Finland,2020,105530600.0,43.6438
MH,Marshall Islands,FI,Finland,2021,71353800.0,27.3129
MH,Marshall Islands,FI,Finland,2022,194121200.0,75.0304
MH,Marshall Islands,FI,Finland,2023,388960000.0,147.4667
MH,Marshall Islands,FI,Finland,2024,32205900.0,11.1013
MH,Marshall Islands,FR,France,2010,26496846.0,16.4475
MH,Marshall Islands,FR,France,2011,20250828.9,11.7532
MH,Marshall Islands,FR,France,2012,26932912.2,14.9048
MH,Marshall Islands,FR,France,2013,28082613.3,15.0658
MH,Marshall Islands,FR,France,2014,80838420.3,43.4615
MH,Marshall Islands,FR,France,2015,77348868.9,42.1061
MH,Marshall Islands,FR,France,2016,66500006.7,32.9534
MH,Marshall Islands,FR,France,2017,70798276.9,33.1298
MH,Marshall Islands,FR,France,2018,52470770.0,23.8504
MH,Marshall Islands,FR,France,2019,110456058.2,47.4264
MH,Marshall Islands,FR,France,2020,59637060.0,24.6638
MH,Marshall Islands,FR,France,2021,130004358.4,49.7633
MH,Marshall Islands,FR,France,2022,195168601.2,75.4352
MH,Marshall Islands,FR,France,2023,262132520.0,99.3825
MH,Marshall Islands,FR,France,2024,110923353.0,38.2351
MH,Marshall Islands,GB,United Kingdom,2010,10958500.0,6.8023
MH,Marshall Islands,GB,United Kingdom,2011,122605730.0,71.1583
MH,Marshall Islands,GB,United Kingdom,2012,97047000.0,53.7061
MH,Marshall Islands,GB,United Kingdom,2013,332324240.0,178.2855
MH,Marshall Islands,GB,United Kingdom,2014,511005920.0,274.7344
MH,Marshall Islands,GB,United Kingdom,2015,541634450.0,294.8473
MH,Marshall Islands,GB,United Kingdom,2016,54497860.0,27.0059
